,,,,,EMIP,,,,,,ICBD,,,,,,CBD1,,,,,CBD4,,,
Class (tasks),m,q,RF,#,OBJ,Gap,Feas,Opt,CPU,,OBJ,Gap,Feas,Opt,CPU,,OBJ,Feas,Opt,CPU,,OBJ,Feas,Opt,CPU
Small(20),5,1,0.2,50,1181.26,0.93,50,25,908.65,,1176.7,0,50,50,7.86,,1176.7,50,50,27.88,,1176.7,50,50,14.59
,5,1,0.4,50,1167.46,0.77,50,25,934.06,,1162.22,0,50,50,17.25,,1162.22,50,50,83.05,,1162.22,50,50,56.7
,5,2,0.2,50,1115.7,1.64,50,25,904.26,,1110.52,0,50,50,13.17,,1110.52,50,50,114.55,,1110.52,50,50,13.91
,5,2,0.4,50,1086.08,0.98,50,25,947.6,,1082.78,0,50,50,33.23,,1082.78,50,50,76.42,,1082.78,50,50,151.04
,10,2,0.2,50,658.06,1.21,50,39,402.31,,657.94,0,50,50,11.33,,657.94,50,50,45.27,,657.94,50,48,423.96
,10,2,0.4,50,641.38,1.81,50,38,451.64,,640.96,0,50,50,39.95,,640.96,50,50,19.78,,640.96,50,43,1171.64
,10,4,0.2,50,649.22,0.16,50,46,202.49,,649.22,0,50,50,7.46,,649.22,50,49,173.1,,649.22,50,49,197.45
,10,4,0.4,50,620.44,2.19,50,40,371.62,,620.34,0,50,50,37.3,,620.34,50,50,95.23,,620.34,50,41,1391.38
Medium (50),13,3,0.2,50,1123.12,7.3,50,1,1767.65,,1076.14,0.42,50,24,162.27,,1097.42,50,24,3868.32,,1079.14,50,23,4259.96
,13,3,0.4,50,1118.28,7.04,50,0,1800,,1064.66,0.67,50,17,330.84,,1085.12,50,25,3635.54,,1068.54,50,19,4941.76
,13,5,0.2,50,1067.58,8.03,50,1,1789.94,,1029.06,0.65,50,26,264.23,,1058.62,50,25,4030.43,,1033.08,50,25,3989.55
,13,5,0.4,50,1059.62,8.39,50,0,1800,,1009.98,1.52,50,14,609.05,,1076.98,50,24,3920.96,,1012.92,50,14,5543.77
,25,5,0.2,50,654.84,3.57,50,31,733.51,,644.7,0.77,50,40,85.17,,650.14,50,35,2698.97,,645.12,50,29,2995.15
,25,5,0.4,50,653.28,5.42,50,28,812.69,,635.64,1.64,50,36,101.3,,641.56,50,35,2502.65,,637.06,50,29,2997.53
,25,10,0.2,50,641.34,3.23,50,35,589.87,,636.1,0.27,50,42,89.17,,641.9,50,40,1612.87,,636.6,50,34,2452.53
,25,10,0.4,50,632.5,6.15,50,29,771.03,,617.54,1.15,50,39,136.79,,623.88,50,34,2512.72,,618.22,50,31,2767.06
Large (100),25,5,0.2,50,1042.96,10.6,50,0,1800,,966.16,3.32,50,0,398.5,,1019.08,50,0,28799.14,,967.1,50,0,28744.9
,25,5,0.4,50,1042,10.51,50,0,1800,,968.94,3.55,50,0,662.26,,985.56,50,0,28366.96,,964.56,50,0,28743.85
,25,10,0.2,50,1038.94,17.61,50,0,1800,,919.4,5.05,50,1,851.08,,1008.04,50,0,28799.91,,908.02,50,1,28512.6
,25,10,0.4,50,1038.28,17.64,50,0,1800,,927.42,7.26,50,0,1119.95,,938.5,50,1,28265.92,,897.7,50,0,28744.83
,50,10,0.2,50,609.94,4.05,50,36,578.58,,593.6,2.32,50,38,159.47,,616.32,50,35,10453.04,,591.52,50,38,6917.75
,50,10,0.4,50,605.92,4.95,50,29,854.67,,585.42,2.49,50,38,215.63,,596.34,50,34,8462.44,,581.2,50,38,6958.22
,50,20,0.2,50,608.22,5.45,50,36,579.52,,584.82,1.62,50,38,223.34,,628.82,50,33,10654.4,,583.02,50,38,6920.98
,50,20,0.4,50,599.96,5.71,50,33,746.12,,574.18,3.01,50,38,275.16,,590.66,50,38,8031.67,,572.96,50,38,6982.13
Sum,/,/,/,1200,/,/,1200,522,/,,/,/,1200,791,/,,/,1200,782,/,,/,1200,738,/
Average,/,/,/,/,860.68,5.64,/,/,1047.76,,830.6,1.49,/,/,243.82,,848.32,/,/,7385.47,,829.06,/,/,7328.89
