File name,Number of stations,Number of robots,Number of tasks,RD,RF,West ratio,Graph structure,Desired OS,Order strength,Times distribution
instance_n=50_217_RF0.2_R3_S13,13,3,50,0.2,0.2,2,CH,0.2,0.201,bimodal
Task id,Human time,Robot time,Collaboration time,Predecessors,,,,,,
1,266,532,-1,,,,,,,
2,520,-1,-1,,,,,,,
3,510,-1,-1,,,,,,,
4,122,-1,-1,,,,,,,
5,175,350,122,,,,,,,
6,141,-1,-1,,,,,,,
7,156,-1,-1,1,,,,,,
8,23,46,-1,5,,,,,,
9,380,-1,266,3,,,,,,
10,116,-1,81,1,,,,,,
11,203,-1,-1,8,,,,,,
12,185,370,-1,7,,,,,,
13,298,-1,208,"8, 9",,,,,,
14,298,-1,-1,10,,,,,,
15,275,-1,-1,11,,,,,,
16,239,-1,167,12,,,,,,
17,149,-1,-1,13,,,,,,
18,340,-1,-1,14,,,,,,
19,37,-1,-1,13,,,,,,
20,97,-1,-1,13,,,,,,
21,208,-1,-1,"2, 14",,,,,,
22,347,-1,-1,14,,,,,,
23,164,-1,-1,14,,,,,,
24,83,-1,-1,15,,,,,,
25,511,-1,-1,19,,,,,,
26,399,-1,-1,16,,,,,,
27,133,-1,93,19,,,,,,
28,133,-1,-1,17,,,,,,
29,151,-1,-1,18,,,,,,
30,215,-1,-1,22,,,,,,
31,561,-1,-1,20,,,,,,
32,101,-1,-1,28,,,,,,
33,243,486,-1,25,,,,,,
34,399,798,279,26,,,,,,
35,269,-1,-1,27,,,,,,
36,249,-1,-1,30,,,,,,
37,256,512,-1,"24, 30",,,,,,
38,280,560,196,29,,,,,,
39,245,-1,-1,30,,,,,,
40,623,-1,436,32,,,,,,
41,77,154,-1,35,,,,,,
42,304,-1,-1,33,,,,,,
43,62,-1,-1,36,,,,,,
44,352,-1,-1,"9, 21, 34",,,,,,
45,217,-1,-1,38,,,,,,
46,546,-1,-1,42,,,,,,
47,142,-1,-1,"40, 41",,,,,,
48,578,-1,-1,"43, 44",,,,,,
49,78,156,54,44,,,,,,
50,432,-1,-1,45,,,,,,
