File name,Number of stations,Number of robots,Number of tasks,RD,RF,West ratio,Graph structure,Desired OS,Order strength,Times distribution
instance_n=50_325_RF0.4_R3_S13,13,3,50,0.2,0.4,2,MIXED,0.2,0.2,peak at the bottom
Task id,Human time,Robot time,Collaboration time,Predecessors,,,,,,
1,53,106,-1,,,,,,,
2,230,460,-1,,,,,,,
3,29,-1,20,,,,,,,
4,54,108,-1,,,,,,,
5,315,630,220,,,,,,,
6,104,-1,-1,,,,,,,
7,27,-1,-1,,,,,,,
8,62,124,-1,,,,,,,
9,144,288,100,8,,,,,,
10,273,-1,-1,"1, 2",,,,,,
11,108,216,-1,2,,,,,,
12,174,-1,121,1,,,,,,
13,258,516,180,2,,,,,,
14,153,306,-1,13,,,,,,
15,220,-1,-1,9,,,,,,
16,51,-1,-1,9,,,,,,
17,192,384,-1,9,,,,,,
18,124,-1,-1,17,,,,,,
19,96,192,67,15,,,,,,
20,235,-1,164,16,,,,,,
21,176,-1,123,"10, 16",,,,,,
22,106,212,-1,17,,,,,,
23,138,-1,96,14,,,,,,
24,27,-1,18,14,,,,,,
25,107,-1,-1,16,,,,,,
26,63,-1,-1,"23, 25",,,,,,
27,113,-1,-1,21,,,,,,
28,228,-1,159,20,,,,,,
29,107,214,-1,24,,,,,,
30,99,-1,-1,"12, 19",,,,,,
31,106,-1,-1,22,,,,,,
32,119,-1,-1,21,,,,,,
33,156,-1,109,28,,,,,,
34,84,-1,-1,"12, 32",,,,,,
35,138,-1,-1,30,,,,,,
36,97,-1,67,"11, 29",,,,,,
37,38,76,-1,"21, 28",,,,,,
38,184,-1,128,"25, 28",,,,,,
39,204,408,142,32,,,,,,
40,284,-1,-1,37,,,,,,
41,197,-1,-1,"18, 32, 36",,,,,,
42,217,434,-1,"4, 35",,,,,,
43,44,-1,-1,36,,,,,,
44,82,-1,57,34,,,,,,
45,127,254,88,36,,,,,,
46,51,-1,-1,39,,,,,,
47,246,-1,-1,35,,,,,,
48,91,182,63,47,,,,,,
49,170,340,119,"12, 40",,,,,,
50,40,80,28,41,,,,,,
