File name,Number of stations,Number of robots,Number of tasks,RD,RF,West ratio,Graph structure,Desired OS,Order strength,Times distribution
instance_n=50_476_RF0.2_R10_S25,25,10,50,0.4,0.2,2,MIXED,0.9,0.896,peak in the middle
Task id,Human time,Robot time,Collaboration time,Predecessors,,,,,,
1,408,-1,-1,,,,,,,
2,350,700,245,,,,,,,
3,356,-1,-1,,,,,,,
4,474,-1,-1,"1, 2, 3",,,,,,
5,603,-1,-1,"2, 3",,,,,,
6,715,-1,-1,"2, 3",,,,,,
7,563,1126,-1,"1, 2, 3",,,,,,
8,264,-1,-1,"4, 5, 6, 7",,,,,,
9,531,-1,-1,"4, 5, 6, 7",,,,,,
10,448,-1,-1,"4, 5, 6, 7",,,,,,
11,264,-1,-1,"8, 9, 10",,,,,,
12,448,-1,-1,"8, 9, 10",,,,,,
13,452,904,-1,"8, 9, 10",,,,,,
14,501,-1,-1,"8, 9, 10",,,,,,
15,422,-1,-1,"11, 12, 13, 14",,,,,,
16,498,-1,348,"11, 12, 13, 14",,,,,,
17,547,-1,-1,"11, 12, 13, 14",,,,,,
18,644,-1,-1,"15, 16, 17",,,,,,
19,476,-1,-1,"15, 16, 17",,,,,,
20,549,1098,-1,"18, 19",,,,,,
21,453,-1,-1,"18, 19",,,,,,
22,273,-1,-1,"20, 21",,,,,,
23,536,-1,-1,"20, 21",,,,,,
24,442,-1,-1,"22, 23",,,,,,
25,683,1366,-1,"22, 23",,,,,,
26,757,-1,-1,25,,,,,,
27,544,-1,-1,26,,,,,,
28,586,-1,410,26,,,,,,
29,579,1158,-1,26,,,,,,
30,551,-1,385,"28, 29",,,,,,
31,423,-1,-1,"27, 29",,,,,,
32,345,-1,-1,29,,,,,,
33,359,-1,-1,"30, 32",,,,,,
34,424,848,-1,32,,,,,,
35,307,-1,214,"31, 32",,,,,,
36,718,-1,-1,"33, 35",,,,,,
37,622,-1,435,"24, 34, 35",,,,,,
38,424,-1,-1,35,,,,,,
39,599,1198,-1,38,,,,,,
40,375,-1,-1,36,,,,,,
41,487,-1,-1,"24, 36",,,,,,
42,500,-1,350,"36, 37",,,,,,
43,257,-1,-1,"28, 39",,,,,,
44,414,-1,289,42,,,,,,
45,469,-1,-1,"39, 42",,,,,,
46,524,-1,366,"34, 40, 41, 43",,,,,,
47,517,1034,-1,"43, 44",,,,,,
48,384,-1,-1,"40, 41, 47",,,,,,
49,531,-1,-1,"46, 47",,,,,,
50,455,910,318,47,,,,,,
