File name,Number of stations,Number of robots,Number of tasks,RD,RF,West ratio,Graph structure,Desired OS,Order strength,Times distribution
instance_n=50_486_RF0.2_R10_S25,25,10,50,0.4,0.2,2,MIXED,0.9,0.896,peak in the middle
Task id,Human time,Robot time,Collaboration time,Predecessors,,,,,,
1,495,-1,346,,,,,,,
2,555,-1,-1,,,,,,,
3,805,-1,-1,,,,,,,
4,301,602,-1,"1, 2, 3",,,,,,
5,641,-1,-1,"1, 2, 3",,,,,,
6,444,-1,310,"4, 5",,,,,,
7,578,-1,-1,"4, 5",,,,,,
8,383,-1,-1,"6, 7",,,,,,
9,602,1204,-1,"6, 7",,,,,,
10,652,1304,456,"6, 7",,,,,,
11,276,-1,193,"8, 9, 10",,,,,,
12,609,-1,-1,"8, 9, 10",,,,,,
13,528,-1,-1,"9, 10",,,,,,
14,472,-1,-1,"11, 12, 13",,,,,,
15,534,-1,-1,"12, 13",,,,,,
16,553,-1,387,"14, 15",,,,,,
17,362,-1,253,15,,,,,,
18,539,1078,377,"14, 15",,,,,,
19,555,-1,-1,"16, 18",,,,,,
20,405,-1,-1,"16, 18",,,,,,
21,485,970,-1,"19, 20",,,,,,
22,636,-1,-1,"19, 20",,,,,,
23,456,-1,-1,"19, 20",,,,,,
24,359,718,-1,"21, 23",,,,,,
25,613,-1,-1,"17, 22, 23",,,,,,
26,611,-1,-1,"22, 23",,,,,,
27,641,-1,-1,"24, 25",,,,,,
28,489,978,342,"24, 25",,,,,,
29,518,-1,-1,"27, 28",,,,,,
30,482,-1,-1,"27, 28",,,,,,
31,608,-1,-1,"29, 30",,,,,,
32,525,-1,-1,"29, 30",,,,,,
33,481,-1,-1,"26, 29, 30",,,,,,
34,444,-1,-1,"26, 31, 32",,,,,,
35,597,-1,417,33,,,,,,
36,380,-1,-1,33,,,,,,
37,552,-1,386,"34, 35",,,,,,
38,591,-1,-1,"31, 35, 36",,,,,,
39,555,-1,-1,35,,,,,,
40,311,-1,-1,"34, 35",,,,,,
41,493,-1,-1,38,,,,,,
42,650,-1,-1,"36, 39, 40",,,,,,
43,410,820,-1,"34, 38, 39",,,,,,
44,470,940,-1,"37, 39",,,,,,
45,438,-1,-1,"34, 38",,,,,,
46,520,-1,-1,42,,,,,,
47,466,932,-1,44,,,,,,
48,631,-1,-1,"46, 47",,,,,,
49,440,-1,-1,47,,,,,,
50,527,-1,-1,"46, 47",,,,,,
