File name,Number of stations,Number of robots,Number of tasks,RD,RF,West ratio,Graph structure,Desired OS,Order strength,Times distribution
instance_n=50_193_RF0.4_R10_S25,25,10,50,0.4,0.4,2,CH,0.2,0.2,peak in the middle
Task id,Human time,Robot time,Collaboration time,Predecessors,,,,,,
1,624,-1,-1,,,,,,,
2,682,1364,477,,,,,,,
3,675,-1,-1,,,,,,,
4,726,-1,508,,,,,,,
5,501,1002,-1,,,,,,,
6,513,-1,359,,,,,,,
7,548,-1,-1,,,,,,,
8,491,-1,-1,4,,,,,,
9,618,1236,432,1,,,,,,
10,615,-1,-1,2,,,,,,
11,316,632,-1,3,,,,,,
12,515,1030,-1,"5, 6",,,,,,
13,491,-1,343,6,,,,,,
14,563,-1,-1,8,,,,,,
15,230,-1,161,9,,,,,,
16,544,1088,-1,10,,,,,,
17,380,760,-1,"7, 11",,,,,,
18,410,820,-1,13,,,,,,
19,455,910,318,15,,,,,,
20,475,-1,-1,14,,,,,,
21,791,-1,553,16,,,,,,
22,495,-1,346,16,,,,,,
23,502,-1,351,18,,,,,,
24,380,760,266,17,,,,,,
25,541,1082,-1,18,,,,,,
26,481,962,-1,22,,,,,,
27,517,1034,361,19,,,,,,
28,495,-1,346,20,,,,,,
29,615,-1,-1,21,,,,,,
30,486,-1,-1,23,,,,,,
31,653,1306,-1,"12, 17, 22",,,,,,
32,629,1258,-1,26,,,,,,
33,537,-1,-1,27,,,,,,
34,551,1102,385,29,,,,,,
35,300,-1,-1,"17, 28",,,,,,
36,758,-1,-1,31,,,,,,
37,476,-1,333,31,,,,,,
38,451,-1,315,30,,,,,,
39,418,-1,-1,31,,,,,,
40,687,-1,-1,32,,,,,,
41,604,1208,-1,34,,,,,,
42,357,-1,249,33,,,,,,
43,382,764,267,38,,,,,,
44,394,-1,-1,35,,,,,,
45,415,830,-1,"36, 37",,,,,,
46,557,-1,389,41,,,,,,
47,504,-1,-1,"30, 31, 40",,,,,,
48,402,-1,-1,"36, 42",,,,,,
49,356,-1,249,"4, 43",,,,,,
50,487,974,-1,43,,,,,,
