File name,Number of stations,Number of robots,Number of tasks,RD,RF,West ratio,Graph structure,Desired OS,Order strength,Times distribution
instance_n=50_470_RF0.4_R3_S13,13,3,50,0.2,0.4,2,MIXED,0.9,0.896,peak at the bottom
Task id,Human time,Robot time,Collaboration time,Predecessors,,,,,,
1,325,-1,-1,,,,,,,
2,85,170,-1,,,,,,,
3,213,426,149,,,,,,,
4,194,-1,-1,"1, 2, 3",,,,,,
5,160,-1,112,"1, 2, 3",,,,,,
6,65,-1,-1,"4, 5",,,,,,
7,85,-1,-1,"4, 5",,,,,,
8,84,168,58,"6, 7",,,,,,
9,161,-1,112,"6, 7",,,,,,
10,37,74,25,"6, 7",,,,,,
11,316,632,221,"8, 9, 10",,,,,,
12,264,528,184,"8, 9, 10",,,,,,
13,79,-1,-1,"8, 9, 10",,,,,,
14,127,-1,88,"11, 12, 13",,,,,,
15,26,-1,-1,"11, 12, 13",,,,,,
16,280,560,-1,"11, 12, 13",,,,,,
17,179,-1,125,"14, 15, 16",,,,,,
18,36,72,25,"14, 15, 16",,,,,,
19,149,298,-1,"14, 15, 16",,,,,,
20,57,-1,-1,"14, 15, 16",,,,,,
21,137,-1,-1,"17, 18, 19, 20",,,,,,
22,260,-1,182,21,,,,,,
23,165,330,-1,21,,,,,,
24,36,-1,-1,21,,,,,,
25,24,-1,-1,"22, 23, 24",,,,,,
26,120,240,-1,"22, 23, 24",,,,,,
27,71,-1,49,"22, 23, 24",,,,,,
28,177,-1,-1,"25, 26",,,,,,
29,164,328,-1,"25, 26, 27",,,,,,
30,119,238,-1,"25, 26",,,,,,
31,239,478,167,"25, 26",,,,,,
32,161,322,-1,"29, 30, 31",,,,,,
33,123,-1,-1,30,,,,,,
34,104,-1,72,"28, 29, 30",,,,,,
35,156,-1,109,33,,,,,,
36,267,-1,186,33,,,,,,
37,138,276,96,"28, 29, 36",,,,,,
38,307,614,-1,"28, 32, 35",,,,,,
39,118,-1,-1,"32, 34, 36",,,,,,
40,185,-1,129,"28, 29, 31, 36",,,,,,
41,266,-1,-1,"37, 38",,,,,,
42,264,528,-1,"37, 40",,,,,,
43,207,414,-1,41,,,,,,
44,165,-1,-1,42,,,,,,
45,223,-1,-1,44,,,,,,
46,90,-1,-1,"38, 44",,,,,,
47,78,-1,54,"39, 43",,,,,,
48,22,-1,15,"46, 47",,,,,,
49,178,-1,-1,46,,,,,,
50,182,364,-1,"32, 45",,,,,,
