File name,Number of stations,Number of robots,Number of tasks,RD,RF,West ratio,Graph structure,Desired OS,Order strength,Times distribution
instance_n=100_225_RF0.2_R5_S25,25,5,100,0.2,0.2,2,CH,0.2,0.2,peak in the middle
Task id,Human time,Robot time,Collaboration time,Predecessors,,,,,,
1,577,1154,-1,,,,,,,
2,379,758,-1,,,,,,,
3,386,-1,-1,,,,,,,
4,742,1484,-1,,,,,,,
5,652,-1,-1,,,,,,,
6,546,-1,-1,,,,,,,
7,634,-1,-1,,,,,,,
8,325,-1,-1,1,,,,,,
9,469,938,328,2,,,,,,
10,609,-1,-1,6,,,,,,
11,663,-1,464,3,,,,,,
12,452,-1,-1,7,,,,,,
13,403,-1,-1,"2, 7",,,,,,
14,527,-1,-1,8,,,,,,
15,536,1072,-1,10,,,,,,
16,481,-1,336,9,,,,,,
17,558,-1,-1,12,,,,,,
18,394,-1,-1,12,,,,,,
19,571,1142,-1,11,,,,,,
20,488,-1,341,10,,,,,,
21,538,-1,-1,14,,,,,,
22,509,-1,-1,15,,,,,,
23,418,-1,-1,16,,,,,,
24,563,1126,394,17,,,,,,
25,483,-1,-1,"19, 20",,,,,,
26,321,642,-1,20,,,,,,
27,392,784,274,20,,,,,,
28,483,-1,338,19,,,,,,
29,473,-1,-1,21,,,,,,
30,610,-1,-1,22,,,,,,
31,571,-1,-1,25,,,,,,
32,792,-1,-1,23,,,,,,
33,668,-1,-1,24,,,,,,
34,607,1214,-1,26,,,,,,
35,455,-1,-1,"17, 27",,,,,,
36,647,-1,452,25,,,,,,
37,523,-1,-1,27,,,,,,
38,730,-1,-1,26,,,,,,
39,477,-1,-1,28,,,,,,
40,308,-1,-1,29,,,,,,
41,338,-1,-1,34,,,,,,
42,493,-1,-1,35,,,,,,
43,327,654,-1,30,,,,,,
44,286,-1,-1,31,,,,,,
45,582,-1,-1,"32, 36",,,,,,
46,665,-1,-1,33,,,,,,
47,372,-1,-1,35,,,,,,
48,495,-1,-1,37,,,,,,
49,551,1102,-1,41,,,,,,
50,388,-1,271,42,,,,,,
51,420,-1,-1,45,,,,,,
52,422,-1,295,43,,,,,,
53,489,978,-1,44,,,,,,
54,655,-1,-1,40,,,,,,
55,415,-1,-1,"45, 46",,,,,,
56,487,-1,-1,"28, 45",,,,,,
57,475,950,-1,46,,,,,,
58,628,-1,-1,48,,,,,,
59,532,-1,-1,55,,,,,,
60,274,-1,-1,56,,,,,,
61,739,-1,-1,49,,,,,,
62,292,-1,-1,51,,,,,,
63,436,-1,305,52,,,,,,
64,349,698,-1,53,,,,,,
65,449,-1,-1,50,,,,,,
66,450,-1,-1,54,,,,,,
67,491,-1,343,64,,,,,,
68,537,1074,375,59,,,,,,
69,640,1280,-1,60,,,,,,
70,591,-1,413,61,,,,,,
71,351,-1,-1,62,,,,,,
72,424,-1,-1,63,,,,,,
73,485,-1,-1,"64, 65",,,,,,
74,496,-1,-1,64,,,,,,
75,386,-1,270,"27, 66",,,,,,
76,289,-1,202,65,,,,,,
77,544,-1,-1,73,,,,,,
78,462,-1,-1,67,,,,,,
79,505,-1,353,68,,,,,,
80,561,-1,-1,69,,,,,,
81,695,-1,-1,72,,,,,,
82,402,-1,-1,"70, 71",,,,,,
83,393,786,-1,75,,,,,,
84,685,-1,-1,76,,,,,,
85,618,-1,-1,75,,,,,,
86,496,-1,-1,"39, 74",,,,,,
87,468,-1,-1,73,,,,,,
88,495,-1,346,77,,,,,,
89,427,-1,-1,78,,,,,,
90,608,1216,-1,80,,,,,,
91,538,-1,-1,"79, 81",,,,,,
92,345,-1,-1,84,,,,,,
93,356,-1,249,"56, 87",,,,,,
94,621,-1,-1,89,,,,,,
95,495,990,-1,90,,,,,,
96,556,-1,389,88,,,,,,
97,480,-1,-1,91,,,,,,
98,471,-1,-1,91,,,,,,
99,266,-1,-1,91,,,,,,
100,762,-1,-1,"54, 91",,,,,,
