File name,Number of stations,Number of robots,Number of tasks,RD,RF,West ratio,Graph structure,Desired OS,Order strength,Times distribution
instance_n=100_496_RF0.4_R20_S50,50,20,100,0.4,0.4,2,MIXED,0.9,0.895,peak at the bottom
Task id,Human time,Robot time,Collaboration time,Predecessors,,,,,,
1,29,58,-1,,,,,,,
2,34,-1,-1,,,,,,,
3,24,-1,16,"1, 2",,,,,,
4,191,-1,-1,"1, 2",,,,,,
5,142,-1,99,2,,,,,,
6,71,142,49,"1, 2",,,,,,
7,111,222,77,"3, 4, 5, 6",,,,,,
8,302,604,-1,"3, 4, 5, 6",,,,,,
9,100,-1,-1,"3, 4, 5, 6",,,,,,
10,118,236,-1,"3, 4, 5, 6",,,,,,
11,56,112,-1,"7, 8, 9, 10",,,,,,
12,137,-1,95,"7, 8, 9, 10",,,,,,
13,294,-1,205,"7, 8, 9, 10",,,,,,
14,79,-1,-1,"9, 10",,,,,,
15,213,426,149,"12, 13, 14",,,,,,
16,80,-1,56,"12, 13, 14",,,,,,
17,284,-1,198,"11, 13, 14",,,,,,
18,226,452,158,"11, 12, 13, 14",,,,,,
19,30,60,21,"15, 16, 17, 18",,,,,,
20,119,238,-1,"15, 16, 17, 18",,,,,,
21,262,-1,183,"15, 16, 17, 18",,,,,,
22,149,-1,-1,"19, 20, 21",,,,,,
23,94,-1,65,"19, 20, 21",,,,,,
24,103,206,-1,"19, 20, 21",,,,,,
25,83,-1,-1,"22, 23, 24",,,,,,
26,100,200,-1,"22, 23, 24",,,,,,
27,115,230,80,"22, 24",,,,,,
28,98,196,-1,"25, 26, 27",,,,,,
29,286,-1,200,"25, 26, 27",,,,,,
30,223,-1,-1,"25, 26, 27",,,,,,
31,88,176,-1,"28, 29, 30",,,,,,
32,185,-1,-1,"28, 30",,,,,,
33,133,266,-1,"28, 30",,,,,,
34,181,362,126,"28, 30",,,,,,
35,201,-1,140,"28, 30",,,,,,
36,237,-1,-1,"31, 32, 33, 34, 35",,,,,,
37,58,-1,-1,"32, 33, 34, 35",,,,,,
38,166,332,116,"33, 34, 35",,,,,,
39,25,-1,17,"31, 32, 33, 34, 35",,,,,,
40,201,-1,-1,"37, 38, 39",,,,,,
41,102,-1,71,"37, 38, 39",,,,,,
42,184,368,128,"37, 38, 39",,,,,,
43,254,508,-1,"29, 37, 38",,,,,,
44,50,100,-1,"41, 43",,,,,,
45,71,-1,49,"41, 42",,,,,,
46,200,400,-1,"44, 45",,,,,,
47,224,448,156,"44, 45",,,,,,
48,155,-1,-1,44,,,,,,
49,118,-1,-1,44,,,,,,
50,217,-1,151,"42, 48, 49",,,,,,
51,216,432,-1,"48, 49",,,,,,
52,111,-1,-1,"50, 51",,,,,,
53,234,468,163,"50, 51",,,,,,
54,315,-1,-1,"50, 51",,,,,,
55,125,-1,87,"52, 53, 54",,,,,,
56,225,450,-1,"52, 53, 54",,,,,,
57,212,-1,148,"52, 53, 54",,,,,,
58,124,-1,-1,"55, 56, 57",,,,,,
59,52,-1,-1,"55, 56",,,,,,
60,247,-1,172,"55, 56",,,,,,
61,225,-1,-1,58,,,,,,
62,74,-1,-1,59,,,,,,
63,64,128,44,58,,,,,,
64,44,88,-1,"59, 60",,,,,,
65,71,142,-1,"40, 63, 64",,,,,,
66,114,-1,79,"62, 64",,,,,,
67,68,-1,-1,"40, 61, 62, 63",,,,,,
68,30,60,21,"65, 66, 67",,,,,,
69,274,548,191,"65, 66, 67",,,,,,
70,54,108,37,"68, 69",,,,,,
71,30,-1,21,"68, 69",,,,,,
72,127,-1,-1,"47, 68, 69",,,,,,
73,112,-1,78,"68, 69",,,,,,
74,66,-1,46,"70, 71",,,,,,
75,85,170,-1,"70, 71",,,,,,
76,109,-1,-1,74,,,,,,
77,122,-1,-1,"45, 75",,,,,,
78,208,416,-1,"45, 75",,,,,,
79,75,-1,-1,"45, 73, 74, 75",,,,,,
80,131,262,-1,"72, 76, 78",,,,,,
81,150,-1,105,"46, 75, 76",,,,,,
82,80,-1,-1,"73, 78",,,,,,
83,60,-1,-1,"47, 77",,,,,,
84,150,300,-1,77,,,,,,
85,51,102,-1,"76, 77",,,,,,
86,91,-1,63,"79, 82, 83",,,,,,
87,109,218,-1,"47, 78, 81",,,,,,
88,244,-1,170,"80, 85",,,,,,
89,164,328,-1,"77, 80, 87",,,,,,
90,30,-1,-1,88,,,,,,
91,243,-1,-1,88,,,,,,
92,158,-1,-1,"90, 91",,,,,,
93,94,-1,-1,90,,,,,,
94,125,-1,87,"36, 86, 90",,,,,,
95,96,-1,-1,"84, 86, 90",,,,,,
96,86,-1,-1,"81, 83, 92",,,,,,
97,59,-1,-1,"36, 46, 91, 95",,,,,,
98,203,406,-1,95,,,,,,
99,89,-1,-1,95,,,,,,
100,102,-1,-1,95,,,,,,
