File name,Number of stations,Number of robots,Number of tasks,RD,RF,West ratio,Graph structure,Desired OS,Order strength,Times distribution
instance_n=100_170_RF0.2_R0_S25,25,0,100,0.0,0.2,2,CH,0.2,0.201,bimodal
Task id,Human time,Robot time,Collaboration time,Predecessors,,,,,,
1,580,1160,-1,,,,,,,
2,162,324,-1,,,,,,,
3,126,-1,-1,,,,,,,
4,355,-1,248,,,,,,,
5,390,-1,-1,,,,,,,
6,492,-1,344,,,,,,,
7,29,58,-1,,,,,,,
8,239,-1,-1,2,,,,,,
9,331,-1,-1,3,,,,,,
10,313,-1,-1,4,,,,,,
11,131,-1,-1,1,,,,,,
12,140,280,98,7,,,,,,
13,112,-1,78,7,,,,,,
14,27,-1,18,"5, 7",,,,,,
15,110,-1,-1,3,,,,,,
16,282,-1,-1,2,,,,,,
17,35,-1,-1,8,,,,,,
18,167,-1,-1,9,,,,,,
19,90,-1,-1,10,,,,,,
20,102,-1,-1,11,,,,,,
21,490,980,-1,12,,,,,,
22,242,-1,-1,13,,,,,,
23,425,-1,-1,14,,,,,,
24,468,-1,-1,14,,,,,,
25,587,-1,-1,14,,,,,,
26,258,-1,-1,14,,,,,,
27,273,-1,191,19,,,,,,
28,48,96,-1,20,,,,,,
29,233,-1,-1,21,,,,,,
30,182,-1,-1,17,,,,,,
31,241,482,-1,22,,,,,,
32,98,196,-1,18,,,,,,
33,203,406,142,26,,,,,,
34,241,-1,-1,30,,,,,,
35,331,-1,231,27,,,,,,
36,97,194,67,"28, 29",,,,,,
37,23,-1,-1,31,,,,,,
38,462,-1,323,33,,,,,,
39,87,-1,-1,32,,,,,,
40,220,-1,-1,"6, 32",,,,,,
41,273,-1,-1,34,,,,,,
42,133,-1,-1,35,,,,,,
43,24,-1,-1,38,,,,,,
44,169,-1,-1,39,,,,,,
45,466,-1,-1,40,,,,,,
46,64,-1,-1,37,,,,,,
47,508,-1,-1,37,,,,,,
48,99,-1,-1,37,,,,,,
49,79,-1,-1,39,,,,,,
50,376,-1,-1,43,,,,,,
51,368,-1,-1,44,,,,,,
52,353,-1,-1,41,,,,,,
53,133,-1,-1,43,,,,,,
54,297,594,-1,42,,,,,,
55,102,-1,-1,43,,,,,,
56,486,-1,-1,"6, 38, 48, 49",,,,,,
57,98,-1,-1,50,,,,,,
58,461,-1,-1,52,,,,,,
59,152,-1,106,51,,,,,,
60,260,520,-1,53,,,,,,
61,473,-1,-1,55,,,,,,
62,325,-1,-1,55,,,,,,
63,82,164,-1,54,,,,,,
64,430,-1,301,55,,,,,,
65,83,-1,-1,"45, 56",,,,,,
66,89,178,-1,56,,,,,,
67,205,-1,-1,"4, 36, 55, 56",,,,,,
68,139,-1,97,"44, 56",,,,,,
69,142,-1,-1,58,,,,,,
70,375,-1,-1,57,,,,,,
71,483,-1,338,61,,,,,,
72,51,-1,-1,62,,,,,,
73,89,-1,-1,59,,,,,,
74,555,-1,-1,"24, 60",,,,,,
75,134,-1,-1,"2, 64, 65",,,,,,
76,578,-1,404,"16, 63, 64",,,,,,
77,476,-1,333,64,,,,,,
78,303,-1,-1,68,,,,,,
79,308,616,-1,70,,,,,,
80,177,354,-1,75,,,,,,
81,27,-1,-1,72,,,,,,
82,44,-1,-1,73,,,,,,
83,24,48,-1,"38, 69",,,,,,
84,111,-1,-1,"66, 71",,,,,,
85,70,140,-1,"4, 74, 77",,,,,,
86,310,-1,217,79,,,,,,
87,145,-1,-1,80,,,,,,
88,484,-1,-1,82,,,,,,
89,34,-1,-1,"32, 81",,,,,,
90,100,-1,-1,"68, 85",,,,,,
91,50,100,-1,"25, 67, 78, 84",,,,,,
92,285,-1,199,"45, 67, 84",,,,,,
93,450,-1,315,86,,,,,,
94,80,-1,-1,87,,,,,,
95,531,-1,-1,"47, 67, 88",,,,,,
96,224,-1,-1,92,,,,,,
97,476,-1,-1,"45, 46, 89",,,,,,
98,26,-1,18,91,,,,,,
99,258,-1,-1,"16, 89",,,,,,
100,125,250,-1,91,,,,,,
