File name,Number of stations,Number of robots,Number of tasks,RD,RF,West ratio,Graph structure,Desired OS,Order strength,Times distribution
instance_n=100_349_RF0.4_R10_S25,25,10,100,0.4,0.4,2,MIXED,0.2,0.199,peak at the bottom
Task id,Human time,Robot time,Collaboration time,Predecessors,,,,,,
1,86,172,-1,,,,,,,
2,119,238,-1,,,,,,,
3,317,-1,221,,,,,,,
4,105,210,73,,,,,,,
5,78,-1,-1,,,,,,,
6,102,-1,71,,,,,,,
7,90,-1,-1,,,,,,,
8,87,174,-1,,,,,,,
9,186,372,130,,,,,,,
10,33,66,23,8,,,,,,
11,243,486,-1,5,,,,,,
12,123,246,86,1,,,,,,
13,172,344,120,4,,,,,,
14,166,-1,-1,5,,,,,,
15,57,-1,-1,3,,,,,,
16,347,-1,242,3,,,,,,
17,130,-1,91,9,,,,,,
18,28,56,-1,14,,,,,,
19,24,-1,-1,11,,,,,,
20,96,-1,67,"2, 3, 17",,,,,,
21,224,-1,-1,15,,,,,,
22,216,-1,-1,15,,,,,,
23,116,-1,-1,"10, 16",,,,,,
24,80,-1,56,10,,,,,,
25,135,-1,-1,13,,,,,,
26,52,-1,36,10,,,,,,
27,166,332,-1,20,,,,,,
28,175,-1,-1,"18, 26",,,,,,
29,202,404,-1,22,,,,,,
30,100,-1,70,20,,,,,,
31,103,-1,-1,24,,,,,,
32,45,90,-1,22,,,,,,
33,180,360,-1,19,,,,,,
34,97,-1,-1,20,,,,,,
35,211,422,147,23,,,,,,
36,200,-1,140,18,,,,,,
37,156,-1,-1,18,,,,,,
38,218,-1,-1,28,,,,,,
39,41,-1,28,33,,,,,,
40,131,262,-1,37,,,,,,
41,59,-1,41,31,,,,,,
42,71,142,49,31,,,,,,
43,54,-1,-1,34,,,,,,
44,67,-1,-1,27,,,,,,
45,109,-1,-1,30,,,,,,
46,208,-1,145,29,,,,,,
47,190,-1,133,42,,,,,,
48,34,68,23,42,,,,,,
49,191,382,-1,45,,,,,,
50,86,-1,60,39,,,,,,
51,33,-1,23,41,,,,,,
52,76,152,53,38,,,,,,
53,33,66,-1,50,,,,,,
54,53,-1,-1,"18, 33, 49",,,,,,
55,174,348,121,50,,,,,,
56,261,522,-1,48,,,,,,
57,65,-1,-1,"5, 47",,,,,,
58,61,122,-1,52,,,,,,
59,201,-1,-1,52,,,,,,
60,41,82,-1,52,,,,,,
61,79,158,-1,"15, 52",,,,,,
62,230,-1,161,59,,,,,,
63,205,410,-1,61,,,,,,
64,31,-1,-1,54,,,,,,
65,152,-1,106,"39, 56",,,,,,
66,220,440,-1,57,,,,,,
67,36,-1,25,55,,,,,,
68,106,-1,-1,"12, 61",,,,,,
69,38,76,26,"44, 59",,,,,,
70,80,-1,56,59,,,,,,
71,164,328,-1,59,,,,,,
72,99,-1,-1,"51, 67",,,,,,
73,98,-1,-1,"26, 30, 46, 67",,,,,,
74,95,-1,66,68,,,,,,
75,75,150,-1,62,,,,,,
76,51,102,-1,62,,,,,,
77,100,-1,-1,"21, 68",,,,,,
78,268,-1,-1,71,,,,,,
79,41,-1,-1,64,,,,,,
80,241,-1,-1,69,,,,,,
81,172,-1,-1,"41, 45, 80",,,,,,
82,25,-1,-1,73,,,,,,
83,178,-1,124,73,,,,,,
84,115,230,-1,73,,,,,,
85,68,136,-1,84,,,,,,
86,96,192,67,83,,,,,,
87,173,-1,121,82,,,,,,
88,136,272,95,"68, 76, 84",,,,,,
89,141,282,-1,82,,,,,,
90,64,-1,44,81,,,,,,
91,150,-1,105,82,,,,,,
92,52,-1,-1,84,,,,,,
93,166,-1,116,"56, 84",,,,,,
94,131,-1,-1,89,,,,,,
95,205,410,-1,"7, 93",,,,,,
96,305,-1,213,89,,,,,,
97,72,144,-1,"86, 93",,,,,,
98,49,98,-1,91,,,,,,
99,76,-1,-1,"38, 87",,,,,,
100,219,-1,153,"70, 86",,,,,,
