File name,Number of stations,Number of robots,Number of tasks,RD,RF,West ratio,Graph structure,Desired OS,Order strength,Times distribution
instance_n=100_487_RF0.2_R5_S25,25,5,100,0.2,0.2,2,MIXED,0.9,0.895,peak at the bottom
Task id,Human time,Robot time,Collaboration time,Predecessors,,,,,,
1,72,-1,-1,,,,,,,
2,79,-1,-1,,,,,,,
3,86,-1,-1,"1, 2",,,,,,
4,106,-1,-1,"1, 2",,,,,,
5,116,-1,81,"1, 2",,,,,,
6,196,392,137,"1, 2",,,,,,
7,201,-1,-1,"1, 2",,,,,,
8,201,-1,-1,"3, 4, 5, 6, 7",,,,,,
9,122,-1,-1,8,,,,,,
10,134,268,-1,8,,,,,,
11,206,-1,144,8,,,,,,
12,143,-1,-1,8,,,,,,
13,63,-1,-1,8,,,,,,
14,68,136,-1,"9, 10, 11, 12, 13",,,,,,
15,49,-1,-1,"9, 10, 11, 12, 13",,,,,,
16,310,-1,-1,"9, 10, 11, 12, 13",,,,,,
17,209,-1,-1,"9, 10, 11, 12, 13",,,,,,
18,111,-1,-1,"9, 10, 11, 12, 13",,,,,,
19,132,-1,92,"14, 15, 16, 17, 18",,,,,,
20,71,-1,-1,"14, 15, 16, 17, 18",,,,,,
21,43,86,30,"14, 15, 16, 17, 18",,,,,,
22,344,-1,240,"19, 20, 21",,,,,,
23,95,-1,-1,"19, 20, 21",,,,,,
24,222,-1,-1,"19, 20",,,,,,
25,124,-1,-1,"19, 20, 21",,,,,,
26,80,-1,-1,22,,,,,,
27,93,-1,-1,22,,,,,,
28,194,-1,-1,22,,,,,,
29,103,-1,-1,"26, 27, 28",,,,,,
30,102,-1,-1,"26, 27, 28",,,,,,
31,207,-1,-1,"26, 27, 28",,,,,,
32,131,-1,-1,"29, 30, 31",,,,,,
33,139,278,-1,"29, 30, 31",,,,,,
34,23,46,-1,"29, 30, 31",,,,,,
35,129,-1,-1,"29, 30, 31",,,,,,
36,225,450,-1,"25, 32, 33, 34, 35",,,,,,
37,92,-1,-1,"32, 33, 34, 35",,,,,,
38,256,512,-1,"32, 33, 34, 35",,,,,,
39,100,-1,-1,"24, 32, 33, 34",,,,,,
40,176,-1,-1,"25, 32, 33, 34, 35",,,,,,
41,278,-1,194,"36, 37, 39, 40",,,,,,
42,70,-1,49,"36, 38, 39, 40",,,,,,
43,248,-1,-1,"36, 38, 39, 40",,,,,,
44,122,-1,85,"42, 43",,,,,,
45,169,-1,-1,"37, 42, 43",,,,,,
46,29,58,-1,"41, 42, 43",,,,,,
47,95,-1,-1,"41, 42, 43",,,,,,
48,244,488,-1,"44, 45, 46, 47",,,,,,
49,98,196,68,"44, 45, 46, 47",,,,,,
50,167,-1,-1,"48, 49",,,,,,
51,264,-1,-1,"48, 49",,,,,,
52,262,524,183,"48, 49",,,,,,
53,148,296,-1,"50, 51, 52",,,,,,
54,54,-1,37,"50, 51, 52",,,,,,
55,58,116,-1,"50, 51",,,,,,
56,173,-1,-1,"50, 51",,,,,,
57,68,-1,-1,"54, 55",,,,,,
58,87,-1,-1,54,,,,,,
59,186,-1,-1,"54, 55",,,,,,
60,190,-1,-1,54,,,,,,
61,50,100,35,59,,,,,,
62,197,-1,137,"56, 60",,,,,,
63,103,-1,-1,"57, 60",,,,,,
64,108,-1,-1,58,,,,,,
65,180,-1,-1,"61, 63, 64",,,,,,
66,105,-1,-1,"53, 64",,,,,,
67,95,-1,-1,"61, 63",,,,,,
68,71,-1,-1,"56, 60, 61, 64",,,,,,
69,267,-1,-1,"65, 67",,,,,,
70,345,-1,-1,"66, 67",,,,,,
71,47,-1,-1,"62, 65, 67",,,,,,
72,109,-1,-1,"69, 70",,,,,,
73,131,262,-1,71,,,,,,
74,120,-1,-1,70,,,,,,
75,62,-1,-1,"66, 71",,,,,,
76,74,-1,-1,"69, 75",,,,,,
77,175,350,-1,72,,,,,,
78,105,-1,-1,"56, 72",,,,,,
79,167,-1,116,76,,,,,,
80,177,-1,-1,"68, 76",,,,,,
81,275,-1,192,"62, 68, 77, 78",,,,,,
82,101,-1,70,81,,,,,,
83,277,-1,-1,"74, 77, 79",,,,,,
84,37,-1,-1,"80, 81",,,,,,
85,96,-1,-1,"73, 79",,,,,,
86,158,-1,-1,"80, 85",,,,,,
87,93,-1,-1,82,,,,,,
88,59,118,-1,85,,,,,,
89,23,-1,-1,86,,,,,,
90,173,346,-1,88,,,,,,
91,187,-1,-1,87,,,,,,
92,128,-1,-1,87,,,,,,
93,131,-1,-1,"78, 89",,,,,,
94,230,-1,-1,"84, 89, 91",,,,,,
95,42,-1,29,"83, 84, 90",,,,,,
96,23,-1,-1,"93, 94",,,,,,
97,77,154,-1,95,,,,,,
98,94,-1,65,94,,,,,,
99,238,-1,166,95,,,,,,
100,69,-1,-1,"23, 96, 98, 99",,,,,,
