File name,Number of stations,Number of robots,Number of tasks,RD,RF,West ratio,Graph structure,Desired OS,Order strength,Times distribution
instance_n=100_27_RF0.2_R0_S25,25,0,100,0.0,0.2,2,BN,0.2,0.2,peak at the bottom
Task id,Human time,Robot time,Collaboration time,Predecessors,,,,,,
1,99,-1,-1,,,,,,,
2,327,-1,-1,,,,,,,
3,94,-1,-1,,,,,,,
4,65,-1,45,,,,,,,
5,173,-1,-1,,,,,,,
6,51,-1,-1,,,,,,,
7,36,-1,-1,,,,,,,
8,129,-1,-1,"5, 7",,,,,,
9,177,354,-1,5,,,,,,
10,130,260,-1,2,,,,,,
11,180,-1,-1,3,,,,,,
12,35,-1,24,7,,,,,,
13,103,-1,-1,5,,,,,,
14,25,-1,17,5,,,,,,
15,164,328,-1,4,,,,,,
16,278,-1,-1,"4, 7",,,,,,
17,136,-1,-1,10,,,,,,
18,108,216,-1,16,,,,,,
19,190,-1,133,12,,,,,,
20,29,-1,-1,11,,,,,,
21,62,124,-1,15,,,,,,
22,318,-1,-1,13,,,,,,
23,85,170,-1,13,,,,,,
24,65,-1,-1,16,,,,,,
25,78,-1,54,15,,,,,,
26,152,-1,-1,"1, 8, 9, 17, 18",,,,,,
27,27,54,-1,20,,,,,,
28,75,-1,-1,21,,,,,,
29,133,-1,-1,22,,,,,,
30,85,-1,-1,21,,,,,,
31,379,-1,265,"22, 23",,,,,,
32,34,-1,23,22,,,,,,
33,162,324,113,23,,,,,,
34,262,-1,-1,24,,,,,,
35,231,462,-1,22,,,,,,
36,333,-1,233,22,,,,,,
37,116,-1,-1,22,,,,,,
38,157,-1,-1,26,,,,,,
39,23,-1,-1,26,,,,,,
40,155,-1,-1,26,,,,,,
41,91,-1,63,26,,,,,,
42,91,182,-1,26,,,,,,
43,34,-1,-1,34,,,,,,
44,191,382,-1,27,,,,,,
45,51,-1,-1,30,,,,,,
46,72,-1,-1,28,,,,,,
47,66,-1,-1,29,,,,,,
48,400,-1,-1,33,,,,,,
49,96,192,-1,37,,,,,,
50,147,-1,-1,26,,,,,,
51,98,-1,68,"44, 46",,,,,,
52,177,-1,-1,48,,,,,,
53,219,-1,-1,39,,,,,,
54,235,-1,-1,45,,,,,,
55,235,-1,164,"30, 47",,,,,,
56,162,324,-1,"14, 48",,,,,,
57,115,-1,-1,49,,,,,,
58,85,-1,-1,"31, 49",,,,,,
59,90,-1,-1,52,,,,,,
60,142,-1,-1,53,,,,,,
61,257,514,-1,54,,,,,,
62,212,-1,-1,58,,,,,,
63,215,430,-1,60,,,,,,
64,93,-1,-1,"21, 59",,,,,,
65,39,-1,-1,62,,,,,,
66,23,-1,-1,"57, 62",,,,,,
67,100,-1,70,63,,,,,,
68,167,-1,-1,65,,,,,,
69,141,282,-1,66,,,,,,
70,139,-1,-1,65,,,,,,
71,60,-1,-1,65,,,,,,
72,66,-1,46,66,,,,,,
73,89,-1,62,65,,,,,,
74,114,-1,-1,"41, 64",,,,,,
75,58,-1,40,"16, 64",,,,,,
76,88,-1,-1,75,,,,,,
77,164,-1,-1,67,,,,,,
78,200,-1,140,68,,,,,,
79,35,-1,-1,72,,,,,,
80,80,-1,-1,74,,,,,,
81,52,-1,-1,70,,,,,,
82,117,-1,81,73,,,,,,
83,75,150,-1,"19, 38, 43, 51, 76",,,,,,
84,183,-1,-1,77,,,,,,
85,216,-1,-1,78,,,,,,
86,118,-1,82,80,,,,,,
87,83,-1,-1,79,,,,,,
88,48,96,-1,79,,,,,,
89,84,-1,-1,"65, 72, 80",,,,,,
90,22,-1,-1,81,,,,,,
91,29,-1,-1,83,,,,,,
92,49,-1,-1,83,,,,,,
93,110,-1,-1,83,,,,,,
94,101,-1,-1,83,,,,,,
95,109,-1,-1,83,,,,,,
96,114,-1,-1,83,,,,,,
97,324,-1,-1,88,,,,,,
98,254,508,177,85,,,,,,
99,59,-1,-1,"75, 84",,,,,,
100,184,368,-1,87,,,,,,
