File name,Number of stations,Number of robots,Number of tasks,RD,RF,West ratio,Graph structure,Desired OS,Order strength,Times distribution
instance_n=100_489_RF0.2_R10_S25,25,10,100,0.4,0.2,2,MIXED,0.9,0.895,peak at the bottom
Task id,Human time,Robot time,Collaboration time,Predecessors,,,,,,
1,259,-1,-1,,,,,,,
2,228,-1,-1,,,,,,,
3,23,-1,16,2,,,,,,
4,61,-1,-1,2,,,,,,
5,69,-1,-1,"3, 4",,,,,,
6,280,-1,-1,"3, 4",,,,,,
7,179,-1,-1,"5, 6",,,,,,
8,196,-1,-1,"5, 6",,,,,,
9,146,-1,-1,"5, 6",,,,,,
10,95,-1,-1,"1, 5, 6",,,,,,
11,113,-1,-1,"7, 8, 9, 10",,,,,,
12,107,214,74,"7, 8, 9, 10",,,,,,
13,142,284,-1,"7, 8, 9, 10",,,,,,
14,92,-1,-1,"7, 8, 9, 10",,,,,,
15,88,-1,-1,"7, 8, 9, 10",,,,,,
16,205,-1,143,"11, 12, 13, 14, 15",,,,,,
17,44,88,-1,"11, 12, 13, 14, 15",,,,,,
18,46,-1,32,"11, 12, 13, 14, 15",,,,,,
19,68,136,-1,"11, 12, 13, 14, 15",,,,,,
20,122,-1,-1,"16, 17, 18, 19",,,,,,
21,37,-1,-1,"16, 17, 18, 19",,,,,,
22,247,494,-1,"20, 21",,,,,,
23,75,-1,-1,"20, 21",,,,,,
24,186,-1,-1,"20, 21",,,,,,
25,26,-1,-1,"22, 23, 24",,,,,,
26,116,232,-1,"22, 23, 24",,,,,,
27,65,130,-1,"23, 24",,,,,,
28,153,-1,-1,"22, 23, 24",,,,,,
29,156,-1,-1,"25, 26, 27, 28",,,,,,
30,57,-1,-1,"25, 26, 27, 28",,,,,,
31,74,-1,-1,"25, 26, 27, 28",,,,,,
32,206,-1,-1,"29, 30, 31",,,,,,
33,56,-1,-1,"29, 30, 31",,,,,,
34,82,-1,-1,"29, 30, 31",,,,,,
35,60,120,-1,"29, 30, 31",,,,,,
36,97,-1,-1,"29, 30, 31",,,,,,
37,20,-1,14,"32, 33, 34, 35, 36",,,,,,
38,177,-1,123,"32, 33, 34, 35, 36",,,,,,
39,91,-1,-1,"32, 33, 34, 35, 36",,,,,,
40,213,426,-1,"37, 38, 39",,,,,,
41,66,-1,-1,"37, 38, 39",,,,,,
42,126,-1,-1,"37, 38, 39",,,,,,
43,114,-1,79,"37, 38, 39",,,,,,
44,133,266,-1,"37, 38, 39",,,,,,
45,167,334,-1,"40, 41, 42, 43, 44",,,,,,
46,353,706,-1,"40, 41, 42, 44",,,,,,
47,168,-1,-1,"40, 41, 44",,,,,,
48,129,-1,-1,"45, 46",,,,,,
49,66,-1,-1,"45, 47",,,,,,
50,280,-1,-1,46,,,,,,
51,34,-1,-1,45,,,,,,
52,203,-1,-1,"49, 50",,,,,,
53,95,-1,66,"48, 49, 50",,,,,,
54,24,-1,-1,50,,,,,,
55,135,270,94,"48, 50, 51",,,,,,
56,195,-1,-1,"48, 49, 51",,,,,,
57,126,-1,88,"49, 54, 55",,,,,,
58,215,430,-1,"53, 57",,,,,,
59,149,-1,104,57,,,,,,
60,98,-1,-1,57,,,,,,
61,156,-1,109,"59, 60",,,,,,
62,214,-1,-1,"56, 59, 60",,,,,,
63,192,384,-1,"52, 59, 60",,,,,,
64,63,-1,-1,"61, 62",,,,,,
65,291,-1,-1,61,,,,,,
66,136,-1,-1,"61, 63",,,,,,
67,40,-1,-1,"63, 64, 65",,,,,,
68,142,-1,-1,"65, 66",,,,,,
69,148,-1,-1,"56, 68",,,,,,
70,163,-1,-1,68,,,,,,
71,158,-1,110,"53, 67, 68",,,,,,
72,227,-1,-1,69,,,,,,
73,105,-1,73,"58, 69",,,,,,
74,173,-1,-1,69,,,,,,
75,77,-1,-1,"69, 71",,,,,,
76,151,-1,-1,70,,,,,,
77,40,-1,-1,"73, 74",,,,,,
78,57,114,-1,76,,,,,,
79,130,-1,91,"53, 64, 72",,,,,,
80,118,-1,82,"71, 74",,,,,,
81,191,-1,133,76,,,,,,
82,77,-1,-1,"70, 79, 80",,,,,,
83,83,166,-1,"70, 80",,,,,,
84,49,98,34,80,,,,,,
85,64,-1,-1,83,,,,,,
86,182,-1,127,84,,,,,,
87,31,-1,-1,"81, 83",,,,,,
88,261,522,-1,82,,,,,,
89,152,304,-1,"78, 82, 85",,,,,,
90,145,-1,-1,"78, 85, 86",,,,,,
91,129,-1,-1,"75, 78, 85",,,,,,
92,128,-1,-1,"58, 75, 86",,,,,,
93,204,-1,-1,"81, 89",,,,,,
94,43,-1,-1,"73, 91",,,,,,
95,105,-1,73,91,,,,,,
96,41,-1,-1,92,,,,,,
97,97,-1,-1,96,,,,,,
98,223,-1,-1,"77, 89, 95",,,,,,
99,110,-1,-1,"77, 94",,,,,,
100,111,-1,-1,"75, 93",,,,,,
