File name,Number of stations,Number of robots,Number of tasks,RD,RF,West ratio,Graph structure,Desired OS,Order strength,Times distribution
instance_n=100_214_RF0.4_R10_S25,25,10,100,0.4,0.4,2,CH,0.2,0.2,peak in the middle
Task id,Human time,Robot time,Collaboration time,Predecessors,,,,,,
1,400,800,-1,,,,,,,
2,521,-1,-1,,,,,,,
3,340,680,-1,,,,,,,
4,522,1044,365,,,,,,,
5,774,1548,-1,,,,,,,
6,622,1244,435,,,,,,,
7,458,916,320,,,,,,,
8,506,1012,-1,,,,,,,
9,451,902,315,,,,,,,
10,480,-1,-1,1,,,,,,
11,552,-1,386,2,,,,,,
12,577,-1,403,8,,,,,,
13,325,650,227,9,,,,,,
14,497,-1,347,"4, 6, 7",,,,,,
15,323,646,-1,6,,,,,,
16,515,1030,-1,10,,,,,,
17,338,-1,236,12,,,,,,
18,792,-1,-1,12,,,,,,
19,545,-1,381,11,,,,,,
20,508,-1,355,15,,,,,,
21,447,-1,-1,13,,,,,,
22,296,592,-1,15,,,,,,
23,426,852,-1,14,,,,,,
24,581,-1,-1,"8, 13",,,,,,
25,227,-1,-1,19,,,,,,
26,440,-1,-1,16,,,,,,
27,165,330,-1,17,,,,,,
28,719,1438,-1,18,,,,,,
29,692,1384,484,"3, 22",,,,,,
30,442,-1,309,"7, 22",,,,,,
31,459,-1,321,"14, 21",,,,,,
32,466,-1,-1,22,,,,,,
33,496,-1,-1,21,,,,,,
34,580,-1,-1,26,,,,,,
35,511,-1,-1,25,,,,,,
36,742,-1,519,27,,,,,,
37,556,-1,-1,28,,,,,,
38,646,-1,452,31,,,,,,
39,423,846,-1,"8, 33",,,,,,
40,453,-1,317,34,,,,,,
41,545,-1,381,35,,,,,,
42,509,-1,-1,36,,,,,,
43,424,-1,-1,37,,,,,,
44,427,854,-1,"30, 39",,,,,,
45,527,-1,-1,39,,,,,,
46,456,912,-1,"5, 38",,,,,,
47,584,-1,408,"12, 38",,,,,,
48,421,-1,294,41,,,,,,
49,385,770,-1,42,,,,,,
50,334,668,233,40,,,,,,
51,723,-1,506,43,,,,,,
52,593,1186,-1,"5, 20, 23, 45",,,,,,
53,661,-1,-1,46,,,,,,
54,501,-1,350,44,,,,,,
55,691,-1,-1,44,,,,,,
56,401,-1,280,48,,,,,,
57,422,-1,-1,50,,,,,,
58,450,900,-1,"7, 32, 49",,,,,,
59,574,-1,-1,"51, 52",,,,,,
60,481,962,336,"5, 54",,,,,,
61,485,-1,339,"12, 20, 38, 55",,,,,,
62,441,882,-1,"7, 51",,,,,,
63,504,1008,-1,"29, 55",,,,,,
64,432,864,302,"47, 51",,,,,,
65,488,976,341,"22, 53",,,,,,
66,709,-1,-1,58,,,,,,
67,385,770,-1,57,,,,,,
68,367,-1,256,59,,,,,,
69,459,-1,-1,58,,,,,,
70,598,1196,-1,56,,,,,,
71,463,-1,-1,60,,,,,,
72,788,1576,-1,"23, 62",,,,,,
73,389,-1,272,"4, 60",,,,,,
74,457,-1,319,66,,,,,,
75,741,-1,518,67,,,,,,
76,434,868,-1,68,,,,,,
77,629,-1,-1,69,,,,,,
78,632,-1,-1,70,,,,,,
79,551,-1,-1,72,,,,,,
80,456,-1,319,71,,,,,,
81,443,886,-1,72,,,,,,
82,339,678,-1,72,,,,,,
83,489,978,-1,"32, 72",,,,,,
84,386,-1,270,"38, 72",,,,,,
85,663,-1,-1,"52, 73",,,,,,
86,417,-1,291,76,,,,,,
87,452,904,316,78,,,,,,
88,467,-1,326,79,,,,,,
89,548,-1,-1,80,,,,,,
90,308,-1,-1,74,,,,,,
91,483,-1,-1,"20, 75",,,,,,
92,392,784,-1,"63, 77",,,,,,
93,507,-1,-1,"61, 81",,,,,,
94,748,-1,523,"24, 64, 84",,,,,,
95,408,816,285,90,,,,,,
96,376,752,-1,"86, 87, 89",,,,,,
97,563,1126,-1,"32, 60, 88",,,,,,
98,518,-1,-1,"23, 31, 91",,,,,,
99,438,-1,306,"39, 94",,,,,,
100,435,-1,-1,"4, 92",,,,,,
