File name,Number of stations,Number of robots,Number of tasks,RD,RF,West ratio,Graph structure,Desired OS,Order strength,Times distribution
instance_n=20_494_RF0.4_R4_S10,10,4,20,0.4,0.4,2,MIXED,0.9,0.8,bimodal
Task id,Human time,Robot time,Collaboration time,Predecessors,,,,,,
1,288,576,-1,,,,,,,
2,376,-1,263,,,,,,,
3,505,1010,-1,,,,,,,
4,527,-1,-1,"1, 3",,,,,,
5,110,220,-1,"1, 2",,,,,,
6,206,-1,-1,"4, 5",,,,,,
7,28,-1,-1,6,,,,,,
8,51,-1,35,6,,,,,,
9,221,442,-1,6,,,,,,
10,115,-1,80,9,,,,,,
11,119,-1,-1,"8, 9",,,,,,
12,168,-1,117,"10, 11",,,,,,
13,240,-1,168,"8, 10",,,,,,
14,514,1028,359,13,,,,,,
15,146,-1,-1,13,,,,,,
16,222,444,155,12,,,,,,
17,43,86,-1,"15, 16",,,,,,
18,502,1004,351,"14, 15, 16",,,,,,
19,491,-1,-1,17,,,,,,
20,195,-1,-1,18,,,,,,
