File name,Number of stations,Number of robots,Number of tasks,RD,RF,West ratio,Graph structure,Desired OS,Order strength,Times distribution
instance_n=20_361_RF0.4_R1_S5,5,1,20,0.2,0.4,2,MIXED,0.2,0.2,bimodal
Task id,Human time,Robot time,Collaboration time,Predecessors,,,,,,
1,133,-1,93,,,,,,,
2,46,-1,32,,,,,,,
3,266,532,-1,,,,,,,
4,271,542,189,,,,,,,
5,183,-1,-1,4,,,,,,
6,110,220,-1,3,,,,,,
7,357,714,-1,2,,,,,,
8,299,598,-1,2,,,,,,
9,69,-1,48,2,,,,,,
10,32,64,-1,5,,,,,,
11,186,372,-1,5,,,,,,
12,190,-1,-1,9,,,,,,
13,284,-1,-1,8,,,,,,
14,252,-1,176,11,,,,,,
15,79,158,55,11,,,,,,
16,262,-1,183,10,,,,,,
17,54,-1,-1,15,,,,,,
18,572,-1,400,14,,,,,,
19,252,-1,-1,14,,,,,,
20,526,-1,-1,15,,,,,,
