File name,Number of stations,Number of robots,Number of tasks,RD,RF,West ratio,Graph structure,Desired OS,Order strength,Times distribution
instance_n=20_444_RF0.4_R2_S5,5,2,20,0.4,0.4,2,MIXED,0.9,0.8,peak at the bottom
Task id,Human time,Robot time,Collaboration time,Predecessors,,,,,,
1,191,382,-1,,,,,,,
2,52,-1,-1,,,,,,,
3,100,-1,70,,,,,,,
4,202,404,141,"1, 2, 3",,,,,,
5,147,-1,-1,4,,,,,,
6,161,-1,-1,4,,,,,,
7,69,-1,-1,4,,,,,,
8,162,324,113,5,,,,,,
9,184,-1,128,5,,,,,,
10,55,-1,38,"5, 7",,,,,,
11,121,242,-1,10,,,,,,
12,135,-1,94,10,,,,,,
13,65,-1,45,10,,,,,,
14,357,-1,-1,"11, 12, 13",,,,,,
15,145,290,-1,"8, 9, 11, 13",,,,,,
16,238,476,-1,"6, 15",,,,,,
17,35,-1,24,"14, 16",,,,,,
18,191,-1,-1,"14, 16",,,,,,
19,153,306,-1,17,,,,,,
20,116,232,-1,18,,,,,,
