File name,Number of stations,Number of robots,Number of tasks,RD,RF,West ratio,Graph structure,Desired OS,Order strength,Times distribution
instance_n=20_470_RF0.4_R4_S10,10,4,20,0.4,0.4,2,MIXED,0.9,0.8,peak in the middle
Task id,Human time,Robot time,Collaboration time,Predecessors,,,,,,
1,579,1158,-1,,,,,,,
2,530,1060,-1,,,,,,,
3,358,-1,250,,,,,,,
4,368,-1,257,"1, 2, 3",,,,,,
5,489,-1,-1,"1, 2, 3",,,,,,
6,245,-1,171,"4, 5",,,,,,
7,593,1186,415,"4, 5",,,,,,
8,548,1096,383,"6, 7",,,,,,
9,515,-1,-1,"6, 7",,,,,,
10,687,-1,-1,8,,,,,,
11,326,652,-1,"8, 9",,,,,,
12,349,-1,-1,8,,,,,,
13,550,1100,-1,11,,,,,,
14,562,-1,393,11,,,,,,
15,449,898,314,12,,,,,,
16,609,-1,-1,"13, 14",,,,,,
17,450,-1,-1,"10, 12, 14",,,,,,
18,511,-1,357,15,,,,,,
19,502,-1,-1,"17, 18",,,,,,
20,435,870,-1,19,,,,,,
