File name,Number of stations,Number of robots,Number of tasks,RD,RF,West ratio,Graph structure,Desired OS,Order strength,Times distribution
instance_n=20_360_RF0.4_R2_S5,5,2,20,0.4,0.4,2,MIXED,0.2,0.195,bimodal
Task id,Human time,Robot time,Collaboration time,Predecessors,,,,,,
1,224,-1,-1,,,,,,,
2,499,-1,-1,,,,,,,
3,373,-1,261,,,,,,,
4,188,376,-1,,,,,,,
5,39,78,-1,1,,,,,,
6,145,-1,101,3,,,,,,
7,417,-1,-1,3,,,,,,
8,69,138,48,1,,,,,,
9,167,334,-1,5,,,,,,
10,506,-1,-1,8,,,,,,
11,420,-1,294,8,,,,,,
12,446,-1,312,5,,,,,,
13,225,-1,-1,6,,,,,,
14,229,458,-1,6,,,,,,
15,567,1134,-1,14,,,,,,
16,291,582,-1,10,,,,,,
17,138,-1,96,9,,,,,,
18,79,-1,55,15,,,,,,
19,195,-1,-1,15,,,,,,
20,87,174,60,15,,,,,,
