File name,Number of stations,Number of robots,Number of tasks,RD,RF,West ratio,Graph structure,Desired OS,Order strength,Times distribution
instance_n=20_442_RF0.2_R0_S5,5,0,20,0.0,0.2,2,MIXED,0.9,0.8,peak at the bottom
Task id,Human time,Robot time,Collaboration time,Predecessors,,,,,,
1,112,-1,-1,,,,,,,
2,120,-1,-1,,,,,,,
3,118,-1,-1,"1, 2",,,,,,
4,245,-1,171,2,,,,,,
5,157,314,109,"1, 2",,,,,,
6,142,-1,-1,"3, 4, 5",,,,,,
7,219,-1,-1,"3, 4, 5",,,,,,
8,40,-1,-1,"6, 7",,,,,,
9,90,-1,63,7,,,,,,
10,161,322,-1,6,,,,,,
11,51,-1,-1,"8, 9, 10",,,,,,
12,84,-1,58,"8, 10",,,,,,
13,133,-1,-1,"11, 12",,,,,,
14,187,-1,-1,"9, 12",,,,,,
15,209,-1,-1,11,,,,,,
16,194,-1,-1,15,,,,,,
17,90,-1,-1,14,,,,,,
18,117,234,-1,17,,,,,,
19,211,422,-1,18,,,,,,
20,249,-1,-1,18,,,,,,
