File name,Number of stations,Number of robots,Number of tasks,RD,RF,West ratio,Graph structure,Desired OS,Order strength,Times distribution
instance_n=20_144_RF0.2_R2_S5,5,2,20,0.4,0.2,2,CH,0.2,0.2,peak at the bottom
Task id,Human time,Robot time,Collaboration time,Predecessors,,,,,,
1,295,-1,-1,,,,,,,
2,104,-1,-1,,,,,,,
3,129,-1,-1,,,,,,,
4,220,440,-1,,,,,,,
5,87,-1,-1,3,,,,,,
6,148,-1,-1,1,,,,,,
7,177,354,-1,2,,,,,,
8,192,-1,-1,3,,,,,,
9,85,170,59,4,,,,,,
10,245,490,171,5,,,,,,
11,65,-1,-1,6,,,,,,
12,314,-1,-1,7,,,,,,
13,178,-1,124,8,,,,,,
14,207,-1,-1,9,,,,,,
15,157,-1,-1,8,,,,,,
16,216,-1,151,9,,,,,,
17,250,-1,-1,13,,,,,,
18,123,-1,-1,"10, 11, 12",,,,,,
19,203,-1,-1,15,,,,,,
20,112,-1,-1,17,,,,,,
