File name,Number of stations,Number of robots,Number of tasks,RD,RF,West ratio,Graph structure,Desired OS,Order strength,Times distribution
instance_n=20_183_RF0.2_R1_S5,5,1,20,0.2,0.2,2,CH,0.2,0.2,peak in the middle
Task id,Human time,Robot time,Collaboration time,Predecessors,,,,,,
1,541,-1,-1,,,,,,,
2,458,-1,-1,,,,,,,
3,495,990,-1,,,,,,,
4,498,-1,348,,,,,,,
5,533,-1,-1,,,,,,,
6,312,-1,-1,1,,,,,,
7,665,-1,-1,1,,,,,,
8,593,-1,-1,1,,,,,,
9,567,-1,-1,1,,,,,,
10,511,-1,-1,2,,,,,,
11,541,-1,378,6,,,,,,
12,529,1058,-1,8,,,,,,
13,493,-1,-1,7,,,,,,
14,532,-1,372,8,,,,,,
15,348,-1,243,8,,,,,,
16,565,-1,-1,12,,,,,,
17,413,-1,-1,14,,,,,,
18,419,838,-1,"11, 13",,,,,,
19,533,1066,-1,"16, 17",,,,,,
20,309,-1,-1,18,,,,,,
