File name,Number of stations,Number of robots,Number of tasks,RD,RF,West ratio,Graph structure,Desired OS,Order strength,Times distribution
instance_n=20_491_RF0.2_R1_S5,5,1,20,0.2,0.2,2,MIXED,0.9,0.8,bimodal
Task id,Human time,Robot time,Collaboration time,Predecessors,,,,,,
1,279,-1,-1,,,,,,,
2,346,-1,242,,,,,,,
3,149,298,-1,,,,,,,
4,117,-1,-1,"1, 2, 3",,,,,,
5,468,936,-1,2,,,,,,
6,152,-1,-1,"1, 3, 5",,,,,,
7,81,-1,-1,"4, 6",,,,,,
8,489,-1,-1,6,,,,,,
9,341,-1,-1,"7, 8",,,,,,
10,509,-1,-1,8,,,,,,
11,528,-1,369,10,,,,,,
12,171,342,119,10,,,,,,
13,144,-1,-1,"11, 12",,,,,,
14,501,-1,-1,"9, 11, 12",,,,,,
15,453,-1,-1,"7, 11",,,,,,
16,200,-1,-1,"13, 14",,,,,,
17,57,-1,39,"13, 14",,,,,,
18,198,396,-1,"9, 13, 15",,,,,,
19,219,-1,-1,"16, 18",,,,,,
20,209,-1,-1,17,,,,,,
