File name,Number of stations,Number of robots,Number of tasks,RD,RF,West ratio,Graph structure,Desired OS,Order strength,Times distribution
instance_n=20_483_RF0.2_R4_S10,10,4,20,0.4,0.2,2,MIXED,0.9,0.8,peak in the middle
Task id,Human time,Robot time,Collaboration time,Predecessors,,,,,,
1,479,-1,-1,,,,,,,
2,506,1012,-1,,,,,,,
3,485,970,-1,"1, 2",,,,,,
4,424,-1,-1,"1, 2",,,,,,
5,448,-1,-1,3,,,,,,
6,570,-1,399,"3, 4",,,,,,
7,551,-1,-1,"3, 4",,,,,,
8,371,-1,-1,"6, 7",,,,,,
9,567,-1,396,5,,,,,,
10,473,946,-1,8,,,,,,
11,463,-1,-1,"6, 9",,,,,,
12,639,-1,-1,"10, 11",,,,,,
13,563,-1,-1,"10, 11",,,,,,
14,497,994,-1,"10, 11",,,,,,
15,216,-1,-1,12,,,,,,
16,526,-1,-1,12,,,,,,
17,538,-1,-1,13,,,,,,
18,484,-1,338,"14, 17",,,,,,
19,307,-1,-1,18,,,,,,
20,578,-1,404,18,,,,,,
