File name,Number of stations,Number of robots,Number of tasks,RD,RF,West ratio,Graph structure,Desired OS,Order strength,Times distribution
instance_n=20_462_RF0.2_R0_S5,5,0,20,0.0,0.2,2,MIXED,0.9,0.8,peak at the bottom
Task id,Human time,Robot time,Collaboration time,Predecessors,,,,,,
1,213,-1,-1,,,,,,,
2,258,-1,180,1,,,,,,
3,146,292,-1,1,,,,,,
4,75,-1,-1,3,,,,,,
5,128,-1,-1,"2, 3",,,,,,
6,105,-1,-1,2,,,,,,
7,113,226,-1,"4, 5, 6",,,,,,
8,224,-1,156,"4, 5, 6",,,,,,
9,58,-1,-1,"4, 5",,,,,,
10,31,62,-1,"7, 8, 9",,,,,,
11,220,-1,-1,"7, 8, 9",,,,,,
12,124,248,-1,11,,,,,,
13,37,-1,-1,11,,,,,,
14,120,-1,-1,13,,,,,,
15,178,-1,124,12,,,,,,
16,259,-1,-1,12,,,,,,
17,152,-1,-1,14,,,,,,
18,212,-1,-1,"16, 17",,,,,,
19,104,-1,-1,"15, 17",,,,,,
20,130,-1,91,17,,,,,,
