File name,Number of stations,Number of robots,Number of tasks,RD,RF,West ratio,Graph structure,Desired OS,Order strength,Times distribution
instance_n=20_490_RF0.2_R2_S10,10,2,20,0.2,0.2,2,MIXED,0.9,0.8,peak in the middle
Task id,Human time,Robot time,Collaboration time,Predecessors,,,,,,
1,500,-1,-1,,,,,,,
2,359,-1,251,1,,,,,,
3,583,-1,408,1,,,,,,
4,572,-1,-1,1,,,,,,
5,584,-1,-1,"2, 3",,,,,,
6,410,-1,-1,"2, 3",,,,,,
7,463,926,324,"5, 6",,,,,,
8,535,-1,-1,"5, 6",,,,,,
9,608,-1,425,"7, 8",,,,,,
10,408,-1,-1,"7, 8",,,,,,
11,458,-1,-1,"7, 8",,,,,,
12,703,-1,-1,"9, 11",,,,,,
13,443,-1,-1,"9, 11",,,,,,
14,421,842,-1,"10, 11",,,,,,
15,461,-1,-1,"12, 14",,,,,,
16,441,882,-1,"13, 14",,,,,,
17,537,1074,-1,"12, 16",,,,,,
18,265,-1,-1,"4, 15, 16",,,,,,
19,402,-1,-1,"13, 15",,,,,,
20,560,-1,-1,18,,,,,,
